SatPRN (ID),CN0,GPS time,Psuedo-range,Sat.X,Sat.Y,Sat.Z,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G02,47.2,2024-04-20 09:44:38.760916509+00:00,22792039.017682195,14591866.966557112,-5125610.266319888,22056116.95658494,4436894.278006596,3085290.164793738,3376331.6249511316,32.16885700697582,34.81365360957059,67.16203436162323
G03,44.3,2024-04-20 09:44:38.757211644+00:00,24131358.534740735,23173479.482240584,-12102446.045672685,4147832.625594413,4436894.278006596,3085290.164793738,3376331.6249511316,32.16885700697582,34.81365360957059,67.16203436162323
G08,50.7,2024-04-20 09:44:38.766872628+00:00,21178412.136658646,24944545.530409124,4723196.893046651,8404084.294735465,4436894.278006596,3085290.164793738,3376331.6249511316,32.16885700697582,34.81365360957059,67.16203436162323
G10,36.2,2024-04-20 09:44:38.761325556+00:00,22802966.663672205,-1422253.478673378,17205202.58820848,20295954.526775006,4436894.278006596,3085290.164793738,3376331.6249511316,32.16885700697582,34.81365360957059,67.16203436162323
G21,44.1,2024-04-20 09:44:38.765031425+00:00,21732699.375334933,15717806.50748737,1649481.8821763806,21896290.070443552,4436894.278006596,3085290.164793738,3376331.6249511316,32.16885700697582,34.81365360957059,67.16203436162323
G27,43.2,2024-04-20 09:44:38.763454555+00:00,22161735.16137114,23134798.299755145,13296734.952176219,-2727530.9775311192,4436894.278006596,3085290.164793738,3376331.6249511316,32.16885700697582,34.81365360957059,67.16203436162323
G28,38.1,2024-04-20 09:44:38.757805717+00:00,23800201.24902511,5190524.141343625,25780713.095625866,-3750984.7821385763,4436894.278006596,3085290.164793738,3376331.6249511316,32.16885700697582,34.81365360957059,67.16203436162323
G32,42.2,2024-04-20 09:44:38.765823690+00:00,21271716.472752698,8004524.969909515,17928069.811361097,18190163.98179976,4436894.278006596,3085290.164793738,3376331.6249511316,32.16885700697582,34.81365360957059,67.16203436162323
